<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NVTK;60;17/12/18;190000;1119.8000000;1124.0000000;1117.1000000;1117.1000000;54860
NVTK;60;18/12/18;110000;1116.5000000;1121.1000000;1111.7000000;1112.6000000;69300
NVTK;60;18/12/18;120000;1112.6000000;1116.4000000;1105.0000000;1106.5000000;89020
NVTK;60;18/12/18;130000;1105.2000000;1109.3000000;1100.7000000;1105.1000000;83550
NVTK;60;18/12/18;140000;1104.1000000;1108.9000000;1102.9000000;1108.3000000;34190
NVTK;60;18/12/18;150000;1107.6000000;1111.5000000;1102.4000000;1108.2000000;36450
NVTK;60;18/12/18;160000;1108.8000000;1116.3000000;1105.8000000;1114.2000000;68510
NVTK;60;18/12/18;170000;1114.2000000;1120.0000000;1113.0000000;1116.0000000;66840
NVTK;60;18/12/18;180000;1116.0000000;1122.8000000;1113.2000000;1120.2000000;128100
NVTK;60;18/12/18;190000;1120.2000000;1123.2000000;1112.7000000;1119.3000000;95090
NVTK;60;19/12/18;110000;1117.0000000;1124.4000000;1108.4000000;1123.0000000;51810
NVTK;60;19/12/18;120000;1123.7000000;1124.5000000;1115.1000000;1115.2000000;55490
NVTK;60;19/12/18;130000;1115.8000000;1117.6000000;1112.2000000;1116.0000000;32870
NVTK;60;19/12/18;140000;1116.0000000;1120.2000000;1113.4000000;1116.2000000;40360
NVTK;60;19/12/18;150000;1116.2000000;1119.0000000;1114.7000000;1116.6000000;78200
NVTK;60;19/12/18;160000;1116.2000000;1118.0000000;1114.6000000;1117.7000000;18370
NVTK;60;19/12/18;170000;1117.4000000;1121.9000000;1112.2000000;1120.8000000;65260
NVTK;60;19/12/18;180000;1121.8000000;1123.5000000;1117.9000000;1123.3000000;83530
NVTK;60;19/12/18;190000;1123.4000000;1124.2000000;1120.1000000;1120.1000000;43810
NVTK;60;20/12/18;110000;1117.0000000;1118.5000000;1102.3000000;1103.0000000;151440
NVTK;60;20/12/18;120000;1102.9000000;1105.5000000;1099.1000000;1102.0000000;128960
NVTK;60;20/12/18;130000;1101.2000000;1106.3000000;1099.1000000;1106.1000000;115310
NVTK;60;20/12/18;140000;1106.1000000;1110.9000000;1105.2000000;1106.1000000;85680
NVTK;60;20/12/18;150000;1105.3000000;1116.0000000;1105.1000000;1116.0000000;70800
NVTK;60;20/12/18;160000;1115.5000000;1120.7000000;1113.0000000;1113.7000000;468230
NVTK;60;20/12/18;170000;1113.1000000;1119.4000000;1113.1000000;1118.0000000;44000
NVTK;60;20/12/18;180000;1118.0000000;1124.2000000;1117.3000000;1123.1000000;76800
NVTK;60;20/12/18;190000;1123.1000000;1127.7000000;1122.3000000;1127.7000000;113330
NVTK;60;21/12/18;110000;1120.1000000;1127.2000000;1119.2000000;1120.6000000;32160
NVTK;60;21/12/18;120000;1120.5000000;1121.7000000;1111.8000000;1113.1000000;87220
NVTK;60;21/12/18;130000;1113.3000000;1119.3000000;1113.0000000;1118.5000000;22640
NVTK;60;21/12/18;140000;1118.7000000;1120.5000000;1117.1000000;1117.1000000;25880
NVTK;60;21/12/18;150000;1117.0000000;1117.5000000;1114.1000000;1114.4000000;36640
NVTK;60;21/12/18;160000;1114.1000000;1115.6000000;1111.1000000;1115.3000000;30640
NVTK;60;21/12/18;170000;1115.0000000;1117.4000000;1112.4000000;1112.4000000;37960
NVTK;60;21/12/18;180000;1113.1000000;1122.9000000;1113.0000000;1119.5000000;64870
NVTK;60;21/12/18;190000;1119.6000000;1129.3000000;1119.6000000;1121.1000000;354960
NVTK;60;24/12/18;110000;1121.1000000;1127.9000000;1115.5000000;1117.9000000;38740
NVTK;60;24/12/18;120000;1119.7000000;1124.0000000;1116.6000000;1117.9000000;51070
NVTK;60;24/12/18;130000;1117.6000000;1120.0000000;1116.2000000;1118.9000000;15750
NVTK;60;24/12/18;140000;1118.5000000;1120.0000000;1117.3000000;1117.3000000;10710
NVTK;60;24/12/18;150000;1118.2000000;1118.4000000;1114.0000000;1115.1000000;24970
NVTK;60;24/12/18;160000;1115.4000000;1115.4000000;1109.3000000;1112.1000000;34660
NVTK;60;24/12/18;170000;1113.7000000;1114.1000000;1110.3000000;1111.1000000;11920
NVTK;60;24/12/18;180000;1111.1000000;1111.7000000;1103.5000000;1105.1000000;59160
NVTK;60;24/12/18;190000;1105.0000000;1110.5000000;1102.3000000;1110.5000000;104000
NVTK;60;25/12/18;110000;1104.1000000;1106.7000000;1065.0000000;1079.3000000;166860
NVTK;60;25/12/18;120000;1079.0000000;1110.8000000;1077.8000000;1094.8000000;69680
NVTK;60;25/12/18;130000;1096.1000000;1096.5000000;1081.0000000;1090.3000000;45040
NVTK;60;25/12/18;140000;1090.7000000;1093.8000000;1084.3000000;1085.0000000;18540
NVTK;60;25/12/18;150000;1084.4000000;1087.6000000;1081.2000000;1083.3000000;13630
NVTK;60;25/12/18;160000;1083.3000000;1084.0000000;1081.0000000;1083.5000000;7640
NVTK;60;25/12/18;170000;1083.5000000;1093.5000000;1082.6000000;1093.1000000;10310
NVTK;60;25/12/18;180000;1093.7000000;1098.5000000;1088.0000000;1089.4000000;24400
NVTK;60;25/12/18;190000;1089.9000000;1089.9000000;1085.8000000;1087.6000000;15930
NVTK;60;26/12/18;110000;1089.9000000;1096.0000000;1087.6000000;1094.5000000;29260
NVTK;60;26/12/18;120000;1093.4000000;1095.5000000;1089.1000000;1092.4000000;8450
NVTK;60;26/12/18;130000;1093.1000000;1098.8000000;1090.3000000;1093.0000000;25740
NVTK;60;26/12/18;140000;1091.2000000;1097.0000000;1091.1000000;1092.9000000;8560
NVTK;60;26/12/18;150000;1093.2000000;1095.7000000;1091.1000000;1093.2000000;4400
NVTK;60;26/12/18;160000;1093.3000000;1094.9000000;1090.0000000;1093.4000000;22550
NVTK;60;26/12/18;170000;1092.7000000;1094.6000000;1086.8000000;1086.8000000;14180
NVTK;60;26/12/18;180000;1088.2000000;1093.2000000;1086.2000000;1092.2000000;23680
NVTK;60;26/12/18;190000;1091.5000000;1096.5000000;1089.0000000;1096.5000000;58300
NVTK;60;27/12/18;110000;1107.3000000;1114.9000000;1103.0000000;1105.1000000;35910
NVTK;60;27/12/18;120000;1105.1000000;1114.6000000;1104.9000000;1110.8000000;64090
NVTK;60;27/12/18;130000;1110.9000000;1112.9000000;1106.2000000;1110.1000000;33650
NVTK;60;27/12/18;140000;1110.7000000;1114.5000000;1108.4000000;1111.2000000;52110
NVTK;60;27/12/18;150000;1110.5000000;1114.0000000;1109.4000000;1110.6000000;39570
NVTK;60;27/12/18;160000;1110.3000000;1111.0000000;1106.0000000;1108.4000000;22000
NVTK;60;27/12/18;170000;1108.2000000;1110.8000000;1105.3000000;1109.2000000;38760
NVTK;60;27/12/18;180000;1109.1000000;1111.3000000;1104.0000000;1110.1000000;42670
NVTK;60;27/12/18;190000;1108.7000000;1110.2000000;1106.3000000;1106.4000000;34000
NVTK;60;28/12/18;110000;1114.4000000;1117.7000000;1108.0000000;1111.8000000;34270
NVTK;60;28/12/18;120000;1112.8000000;1117.5000000;1111.0000000;1117.2000000;55880
NVTK;60;28/12/18;130000;1117.2000000;1124.0000000;1116.7000000;1122.5000000;57350
NVTK;60;28/12/18;140000;1122.2000000;1124.7000000;1121.7000000;1124.3000000;27380
NVTK;60;28/12/18;150000;1123.4000000;1128.8000000;1122.5000000;1128.0000000;57910
NVTK;60;28/12/18;160000;1128.0000000;1128.5000000;1120.7000000;1122.0000000;46310
NVTK;60;28/12/18;170000;1122.0000000;1123.4000000;1116.2000000;1121.6000000;55930
