<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;60;17/04/17;170000;2867.5000000;2890.0000000;2852.5000000;2879.0000000;37957
LKOH;60;17/04/17;180000;2879.0000000;2886.5000000;2870.5000000;2886.5000000;14237
LKOH;60;17/04/17;190000;2886.5000000;2889.0000000;2876.0000000;2880.0000000;28505
LKOH;60;18/04/17;110000;2880.0000000;2893.5000000;2861.0000000;2866.0000000;51361
LKOH;60;18/04/17;120000;2865.5000000;2875.0000000;2859.0000000;2859.5000000;28052
LKOH;60;18/04/17;130000;2859.5000000;2867.5000000;2845.0000000;2856.0000000;39991
LKOH;60;18/04/17;140000;2856.0000000;2856.5000000;2840.0000000;2846.0000000;21820
LKOH;60;18/04/17;150000;2846.0000000;2854.5000000;2835.0000000;2839.0000000;25564
LKOH;60;18/04/17;160000;2837.5000000;2842.0000000;2816.5000000;2824.5000000;43240
LKOH;60;18/04/17;170000;2823.5000000;2839.0000000;2820.0000000;2837.0000000;134813
LKOH;60;18/04/17;180000;2837.5000000;2860.5000000;2831.0000000;2838.0000000;56421
LKOH;60;18/04/17;190000;2838.0000000;2843.5000000;2827.0000000;2828.5000000;76577
LKOH;60;19/04/17;110000;2831.0000000;2858.0000000;2822.5000000;2852.0000000;110839
LKOH;60;19/04/17;120000;2852.5000000;2854.0000000;2840.0000000;2848.5000000;44217
LKOH;60;19/04/17;130000;2848.0000000;2867.0000000;2847.0000000;2863.0000000;49320
LKOH;60;19/04/17;140000;2862.0000000;2880.0000000;2857.0000000;2879.0000000;58169
LKOH;60;19/04/17;150000;2879.5000000;2879.5000000;2858.5000000;2860.0000000;40928
LKOH;60;19/04/17;160000;2860.0000000;2878.5000000;2860.0000000;2871.5000000;59233
LKOH;60;19/04/17;170000;2871.5000000;2892.0000000;2868.0000000;2871.0000000;230706
LKOH;60;19/04/17;180000;2872.0000000;2879.0000000;2850.0000000;2853.0000000;107446
LKOH;60;19/04/17;190000;2853.0000000;2878.5000000;2852.0000000;2859.0000000;102121
LKOH;60;20/04/17;110000;2845.5000000;2871.5000000;2828.0000000;2832.5000000;183240
LKOH;60;20/04/17;120000;2832.5000000;2840.0000000;2824.0000000;2834.5000000;53957
LKOH;60;20/04/17;130000;2834.5000000;2836.0000000;2823.0000000;2831.0000000;44939
LKOH;60;20/04/17;140000;2831.0000000;2833.0000000;2817.5000000;2822.0000000;52260
LKOH;60;20/04/17;150000;2820.5000000;2821.5000000;2810.0000000;2813.5000000;42073
LKOH;60;20/04/17;160000;2812.0000000;2837.0000000;2805.0000000;2828.0000000;109043
LKOH;60;20/04/17;170000;2829.0000000;2843.5000000;2816.0000000;2827.5000000;80083
LKOH;60;20/04/17;180000;2827.0000000;2835.0000000;2816.5000000;2824.0000000;55925
LKOH;60;20/04/17;190000;2824.0000000;2858.0000000;2823.0000000;2858.0000000;77849
LKOH;60;21/04/17;110000;2859.5000000;2868.0000000;2845.5000000;2868.0000000;71582
LKOH;60;21/04/17;120000;2867.5000000;2870.0000000;2856.0000000;2864.5000000;67896
LKOH;60;21/04/17;130000;2863.0000000;2867.5000000;2856.5000000;2867.0000000;24422
LKOH;60;21/04/17;140000;2867.0000000;2868.0000000;2859.5000000;2864.0000000;19841
LKOH;60;21/04/17;150000;2864.0000000;2865.5000000;2850.5000000;2854.0000000;38885
LKOH;60;21/04/17;160000;2854.0000000;2865.0000000;2852.5000000;2858.0000000;16490
LKOH;60;21/04/17;170000;2857.5000000;2861.0000000;2846.0000000;2851.0000000;41527
LKOH;60;21/04/17;180000;2851.0000000;2862.5000000;2841.5000000;2844.0000000;42010
LKOH;60;21/04/17;190000;2844.0000000;2850.0000000;2826.0000000;2850.0000000;95481
LKOH;60;24/04/17;110000;2875.0000000;2892.0000000;2865.0000000;2878.5000000;99306
LKOH;60;24/04/17;120000;2878.0000000;2913.0000000;2875.0000000;2912.5000000;167478
