<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;09/09/19;160000;228.7700000;228.8800000;227.6100000;228.3500000;3.456.220
SBER;60;09/09/19;170000;228.3300000;229.4900000;228.1800000;228.5200000;1.917.740
SBER;60;09/09/19;180000;228.5700000;229.0400000;228.1600000;228.5800000;1.790.870
SBER;60;09/09/19;190000;228.5700000;229.0000000;228.0100000;229.0000000;3.443.870
SBER;60;10/09/19;110000;228.6000000;228.7600000;227.1000000;227.9000000;5.954.480
SBER;60;10/09/19;120000;227.9000000;228.1500000;227.1500000;227.9000000;2.229.470
SBER;60;10/09/19;130000;227.9300000;228.7600000;227.9000000;228.4200000;2.311.630
SBER;60;10/09/19;140000;228.4200000;228.4900000;227.9300000;228.2600000;1.194.600
SBER;60;10/09/19;150000;228.2000000;233.7900000;228.1500000;233.0000000;20.204.480
SBER;60;10/09/19;160000;233.0000000;235.2300000;232.6000000;232.8200000;13.891.880
SBER;60;10/09/19;170000;232.7600000;234.1400000;232.5600000;233.0600000;6.033.160
SBER;60;10/09/19;180000;233.0500000;233.5000000;232.1500000;232.7200000;3.988.690
SBER;60;10/09/19;190000;232.7100000;233.3000000;232.7000000;233.3000000;4.556.830
SBER;60;11/09/19;110000;233.5000000;234.7300000;232.6200000;234.1200000;9.275.960
SBER;60;11/09/19;120000;234.1400000;234.7500000;233.8900000;234.6000000;3.527.800
SBER;60;11/09/19;130000;234.6000000;234.7500000;234.0200000;234.2200000;1.867.950
SBER;60;11/09/19;140000;234.2200000;234.5300000;233.1600000;233.4700000;3.639.200
SBER;60;11/09/19;150000;233.4800000;234.2000000;233.4200000;234.1200000;1.531.400
SBER;60;11/09/19;160000;234.1100000;235.1500000;234.1100000;234.8200000;4.333.560
SBER;60;11/09/19;170000;234.8000000;235.7700000;234.2000000;235.4600000;6.747.450
SBER;60;11/09/19;180000;235.4300000;235.9000000;234.7500000;235.2000000;4.372.560
SBER;60;11/09/19;190000;235.2300000;235.2800000;234.3200000;234.7200000;6.538.520
SBER;60;12/09/19;110000;234.9000000;235.4200000;234.2100000;234.7900000;4.380.620
SBER;60;12/09/19;120000;234.8000000;235.4000000;234.7000000;234.9300000;2.842.950
SBER;60;12/09/19;130000;234.8800000;234.8900000;233.5600000;234.4000000;4.937.490
SBER;60;12/09/19;140000;234.4000000;234.4500000;233.8200000;234.1000000;2.079.700
SBER;60;12/09/19;150000;234.1700000;234.9400000;233.9000000;234.4500000;4.607.930
SBER;60;12/09/19;160000;234.4500000;234.5000000;232.8100000;233.5900000;6.452.890
SBER;60;12/09/19;170000;233.5800000;234.0000000;232.8500000;233.7100000;3.353.400
SBER;60;12/09/19;180000;233.6700000;235.2500000;233.3900000;234.1500000;7.324.470
SBER;60;12/09/19;190000;234.1000000;234.5700000;233.6300000;234.5700000;2.941.840
SBER;60;13/09/19;110000;234.1700000;235.0000000;233.6700000;234.3900000;2.945.010
SBER;60;13/09/19;120000;234.3800000;234.9900000;233.5000000;233.6000000;2.922.250
SBER;60;13/09/19;130000;233.5900000;234.1400000;233.2000000;233.6400000;1.890.090
SBER;60;13/09/19;140000;233.7300000;233.9700000;233.2800000;233.7800000;1.250.930
SBER;60;13/09/19;150000;233.8100000;234.2000000;233.5700000;233.7200000;1.675.920
SBER;60;13/09/19;160000;233.8000000;234.1000000;233.5800000;233.8100000;845.240
SBER;60;13/09/19;170000;233.8700000;234.1000000;232.3300000;232.5500000;3.131.300
SBER;60;13/09/19;180000;232.6000000;233.1500000;231.9100000;232.9900000;4.591.660
SBER;60;13/09/19;190000;233.0000000;233.4900000;232.8500000;233.0000000;3.845.050
SBER;60;16/09/19;110000;234.9800000;235.2500000;233.2000000;234.0400000;8.110.690
SBER;60;16/09/19;120000;234.0700000;235.3400000;233.8700000;234.9200000;6.579.630
SBER;60;16/09/19;130000;234.9300000;235.5300000;234.7000000;235.2400000;3.852.390
SBER;60;16/09/19;140000;235.2000000;235.2500000;234.4000000;234.6300000;1.960.040
SBER;60;16/09/19;150000;234.6300000;235.3400000;234.3700000;235.0100000;3.350.180
SBER;60;16/09/19;160000;235.0200000;235.0700000;234.6100000;234.7500000;1.200.340
SBER;60;16/09/19;170000;234.7500000;234.8900000;234.6900000;234.7900000;3.269.860
SBER;60;16/09/19;180000;234.7800000;234.9700000;234.5800000;234.8400000;4.276.280
SBER;60;16/09/19;190000;234.8500000;235.3200000;234.7100000;235.3200000;6.811.700
SBER;60;17/09/19;110000;235.2200000;237.2000000;234.6600000;236.8800000;11.012.120
SBER;60;17/09/19;120000;236.8800000;236.9100000;234.9000000;235.3700000;6.496.350
SBER;60;17/09/19;130000;235.3600000;235.5700000;233.9900000;234.5000000;7.925.740
SBER;60;17/09/19;140000;234.5000000;234.7500000;234.3000000;234.7100000;3.878.960
SBER;60;17/09/19;150000;234.7000000;235.2000000;234.4000000;234.8500000;3.723.450
SBER;60;17/09/19;160000;234.8500000;235.4000000;234.8100000;235.2600000;3.094.330
SBER;60;17/09/19;170000;235.2800000;236.2000000;235.0500000;235.8500000;6.104.030
SBER;60;17/09/19;180000;235.8800000;235.9500000;235.0000000;235.2400000;5.934.920
SBER;60;17/09/19;190000;235.2700000;235.8900000;235.2000000;235.8900000;7.560.900
SBER;60;18/09/19;110000;235.7100000;236.4500000;235.2100000;235.8000000;4.154.680
