<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;19/09/17;120000;121.8300000;122.0400000;121.4100000;121.7300000;4470800
GAZP;60;19/09/17;130000;121.7100000;121.7900000;121.4200000;121.4200000;2736430
GAZP;60;19/09/17;140000;121.4600000;121.5000000;121.1100000;121.1300000;4887170
GAZP;60;19/09/17;150000;121.1300000;121.5800000;121.0500000;121.4100000;3468390
GAZP;60;19/09/17;160000;121.4100000;121.8900000;121.3300000;121.7500000;2709260
GAZP;60;19/09/17;170000;121.8000000;121.9000000;121.5300000;121.8000000;2339700
GAZP;60;19/09/17;180000;121.8000000;121.9400000;121.5700000;121.7300000;2376270
GAZP;60;19/09/17;190000;121.7300000;121.7900000;121.5000000;121.7500000;2424550
GAZP;60;20/09/17;110000;121.8800000;122.1700000;121.5300000;121.9200000;5223310
GAZP;60;20/09/17;120000;121.9100000;122.4300000;121.8500000;121.9200000;4001030
GAZP;60;20/09/17;130000;121.9200000;122.3000000;121.8000000;122.2100000;4560130
GAZP;60;20/09/17;140000;122.2100000;122.2500000;121.6000000;121.7000000;1876220
GAZP;60;20/09/17;150000;121.7000000;122.0700000;121.5200000;122.0000000;1602780
GAZP;60;20/09/17;160000;122.0000000;122.1800000;121.5500000;121.8400000;1676340
GAZP;60;20/09/17;170000;121.8400000;122.0900000;121.6500000;121.8200000;1863330
GAZP;60;20/09/17;180000;121.8200000;122.1900000;121.7400000;122.1400000;1964070
GAZP;60;20/09/17;190000;122.1400000;122.2600000;121.7800000;122.2500000;3211220
GAZP;60;21/09/17;110000;122.1100000;122.2500000;121.6100000;121.6300000;5288240
GAZP;60;21/09/17;120000;121.6500000;121.9500000;121.6300000;121.9100000;4310570
GAZP;60;21/09/17;130000;121.8700000;122.3800000;121.8600000;122.1900000;3458520
GAZP;60;21/09/17;140000;122.1900000;122.8300000;122.1500000;122.5900000;5118470
GAZP;60;21/09/17;150000;122.6200000;122.8400000;122.5100000;122.7200000;1893510
GAZP;60;21/09/17;160000;122.7200000;123.2000000;122.7200000;123.0800000;5754850
GAZP;60;21/09/17;170000;123.0800000;123.0800000;122.2200000;122.4100000;2791300
GAZP;60;21/09/17;180000;122.4200000;122.6800000;122.3500000;122.5200000;4215870
GAZP;60;21/09/17;190000;122.5000000;122.6500000;122.3100000;122.3400000;2373190
GAZP;60;22/09/17;110000;122.3600000;122.4300000;121.3000000;121.9400000;6613190
GAZP;60;22/09/17;120000;121.9400000;122.1200000;121.6900000;121.8900000;1018210
GAZP;60;22/09/17;130000;121.9000000;122.2900000;121.7700000;122.2000000;1209400
GAZP;60;22/09/17;140000;122.1600000;122.4600000;122.1000000;122.2600000;1259100
GAZP;60;22/09/17;150000;122.2800000;122.3800000;121.9500000;122.1000000;950150
GAZP;60;22/09/17;160000;122.0700000;122.2400000;122.0100000;122.1100000;842110
GAZP;60;22/09/17;170000;122.0900000;122.2500000;121.8300000;122.2000000;1739820
GAZP;60;22/09/17;180000;122.2000000;122.4300000;121.8500000;121.9700000;3251640
GAZP;60;22/09/17;190000;121.9400000;121.9900000;121.6000000;121.9500000;2281210
GAZP;60;25/09/17;110000;121.9800000;122.2800000;121.9000000;122.1800000;1913790
GAZP;60;25/09/17;120000;122.1800000;122.2000000;121.9500000;122.0100000;909030
GAZP;60;25/09/17;130000;122.0100000;122.2000000;121.9500000;122.1000000;2177440
GAZP;60;25/09/17;140000;122.1000000;122.4000000;122.1000000;122.3100000;2513250
GAZP;60;25/09/17;150000;122.3000000;123.6000000;122.2000000;123.5300000;7066790
GAZP;60;25/09/17;160000;123.5700000;123.5800000;123.1600000;123.5300000;2286390
GAZP;60;25/09/17;170000;123.5400000;123.5900000;123.3000000;123.4400000;3523070
GAZP;60;25/09/17;180000;123.4400000;123.5200000;122.9200000;123.1600000;4855230
GAZP;60;25/09/17;190000;123.1400000;123.2000000;122.7900000;123.0300000;2961850
GAZP;60;26/09/17;110000;123.2700000;124.1900000;123.1400000;124.1500000;7658310
GAZP;60;26/09/17;120000;124.1400000;124.1500000;123.7000000;123.9500000;4215450
GAZP;60;26/09/17;130000;123.9400000;123.9800000;123.6900000;123.9200000;1514150
GAZP;60;26/09/17;140000;123.9200000;123.9500000;123.7300000;123.8100000;906880
GAZP;60;26/09/17;150000;123.8500000;123.9500000;123.5100000;123.8800000;1645340
GAZP;60;26/09/17;160000;123.8300000;123.8700000;123.5400000;123.7000000;1025850
GAZP;60;26/09/17;170000;123.7000000;123.8300000;123.3400000;123.6100000;1980810
GAZP;60;26/09/17;180000;123.6200000;123.7500000;123.0200000;123.2700000;3044600
GAZP;60;26/09/17;190000;123.2700000;123.3800000;122.8400000;123.0300000;3704550
GAZP;60;27/09/17;110000;123.1800000;123.6400000;122.7100000;122.8300000;5329580
GAZP;60;27/09/17;120000;122.8000000;122.9500000;122.4600000;122.6700000;2781420
GAZP;60;27/09/17;130000;122.6200000;123.0000000;122.5100000;122.9700000;2195140
GAZP;60;27/09/17;140000;122.9600000;123.2700000;122.7900000;123.2100000;1429260
GAZP;60;27/09/17;150000;123.1900000;123.5500000;123.0000000;123.3300000;2196320
GAZP;60;27/09/17;160000;123.3700000;123.5900000;123.2700000;123.4800000;1863220
GAZP;60;27/09/17;170000;123.4900000;123.6800000;122.9500000;123.0300000;2294410
GAZP;60;27/09/17;180000;123.0300000;123.5800000;122.8500000;123.0000000;2571130
GAZP;60;27/09/17;190000;123.0000000;123.4000000;122.8500000;123.3600000;1825030
GAZP;60;28/09/17;110000;123.2800000;123.4000000;122.8700000;123.2100000;3472250
GAZP;60;28/09/17;120000;123.2000000;123.4800000;122.8600000;123.4500000;2363440
GAZP;60;28/09/17;130000;123.4500000;123.6200000;123.1100000;123.2000000;2117500
GAZP;60;28/09/17;140000;123.1800000;123.3000000;123.0700000;123.1200000;969340
GAZP;60;28/09/17;150000;123.1000000;123.1500000;122.9100000;123.0700000;1959020
GAZP;60;28/09/17;160000;123.0600000;123.2600000;122.9000000;122.9900000;1560040
GAZP;60;28/09/17;170000;123.0400000;123.0600000;122.7000000;122.7400000;1956480
GAZP;60;28/09/17;180000;122.7600000;122.8000000;122.1300000;122.4800000;4780470
GAZP;60;28/09/17;190000;122.4800000;122.5500000;122.1100000;122.5000000;3431520
GAZP;60;29/09/17;110000;122.5000000;122.8100000;122.1600000;122.3400000;2767720
GAZP;60;29/09/17;120000;122.3300000;122.6300000;122.2700000;122.3900000;1158550
GAZP;60;29/09/17;130000;122.4200000;122.4900000;122.1600000;122.2000000;1001590
GAZP;60;29/09/17;140000;122.1900000;122.2800000;121.9000000;122.0400000;2251090
GAZP;60;29/09/17;150000;122.0500000;122.3600000;121.9500000;122.1600000;1016000
GAZP;60;29/09/17;160000;122.1500000;122.2700000;121.7800000;121.8600000;1983920
GAZP;60;29/09/17;170000;121.8700000;122.3000000;121.7000000;122.2200000;3424540
GAZP;60;29/09/17;180000;122.2100000;122.2900000;121.8100000;122.0900000;1433550
GAZP;60;29/09/17;190000;122.0600000;122.2000000;121.8700000;122.2000000;2145420
