<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;60;13/01/20;110000;0.0476500;0.0482500;0.0476300;0.0479700;9471170000
VTBR;60;13/01/20;120000;0.0479700;0.0479700;0.0477700;0.0478350;3935880000
VTBR;60;13/01/20;130000;0.0478200;0.0479000;0.0477050;0.0478950;2393350000
VTBR;60;13/01/20;140000;0.0478850;0.0478950;0.0476100;0.0476900;2568890000
VTBR;60;13/01/20;150000;0.0476900;0.0478100;0.0476600;0.0477050;2023680000
VTBR;60;13/01/20;160000;0.0476950;0.0480650;0.0476900;0.0480250;2481500000
VTBR;60;13/01/20;170000;0.0480350;0.0482000;0.0479300;0.0480700;3723580000
VTBR;60;13/01/20;180000;0.0480700;0.0481500;0.0479400;0.0480750;2769420000
VTBR;60;13/01/20;190000;0.0480850;0.0481200;0.0479550;0.0480600;3260340000
VTBR;60;14/01/20;110000;0.0481500;0.0484250;0.0481000;0.0481800;5719400000
VTBR;60;14/01/20;120000;0.0481900;0.0484000;0.0478500;0.0480050;9289140000
VTBR;60;14/01/20;130000;0.0480100;0.0480850;0.0478300;0.0480550;2513070000
VTBR;60;14/01/20;140000;0.0480650;0.0482000;0.0480250;0.0481800;2256340000
VTBR;60;14/01/20;150000;0.0481800;0.0481800;0.0473700;0.0475250;5456180000
VTBR;60;14/01/20;160000;0.0475200;0.0475800;0.0471250;0.0473250;6005390000
VTBR;60;14/01/20;170000;0.0473350;0.0475700;0.0472700;0.0475200;2138780000
VTBR;60;14/01/20;180000;0.0475200;0.0475350;0.0473650;0.0473700;1684630000
VTBR;60;14/01/20;190000;0.0473750;0.0474000;0.0471000;0.0472600;4363900000
VTBR;60;15/01/20;110000;0.0472000;0.0475950;0.0470000;0.0474150;5810530000
VTBR;60;15/01/20;120000;0.0474100;0.0475000;0.0472550;0.0474900;1795290000
VTBR;60;15/01/20;130000;0.0474900;0.0481500;0.0472000;0.0475950;17597300000
VTBR;60;15/01/20;140000;0.0475950;0.0478400;0.0475300;0.0476600;3411860000
VTBR;60;15/01/20;150000;0.0476400;0.0477950;0.0475700;0.0475950;1559480000
VTBR;60;15/01/20;160000;0.0475950;0.0477000;0.0475700;0.0476500;1081900000
VTBR;60;15/01/20;170000;0.0476300;0.0476500;0.0467000;0.0469850;13762950000
VTBR;60;15/01/20;180000;0.0469900;0.0471200;0.0467500;0.0470150;10227710000
VTBR;60;15/01/20;190000;0.0470100;0.0470150;0.0468050;0.0468050;4510250000
VTBR;60;16/01/20;110000;0.0470100;0.0473500;0.0470000;0.0473150;5563950000
VTBR;60;16/01/20;120000;0.0473150;0.0474550;0.0472200;0.0473950;4478380000
VTBR;60;16/01/20;130000;0.0473950;0.0474500;0.0471700;0.0472200;1980610000
VTBR;60;16/01/20;140000;0.0472250;0.0473900;0.0471650;0.0473600;1073510000
VTBR;60;16/01/20;150000;0.0473650;0.0474950;0.0472800;0.0474400;1749810000
VTBR;60;16/01/20;160000;0.0474500;0.0475000;0.0473700;0.0474600;2031580000
VTBR;60;16/01/20;170000;0.0474650;0.0476800;0.0473400;0.0476450;6316830000
VTBR;60;16/01/20;180000;0.0476450;0.0476900;0.0475500;0.0476350;2290420000
VTBR;60;16/01/20;190000;0.0476150;0.0478250;0.0476000;0.0478250;5357250000
VTBR;60;17/01/20;110000;0.0478250;0.0481100;0.0477350;0.0480350;4583780000
VTBR;60;17/01/20;120000;0.0480200;0.0481000;0.0479250;0.0479750;4650290000
VTBR;60;17/01/20;130000;0.0479800;0.0479800;0.0478100;0.0479550;2283610000
VTBR;60;17/01/20;140000;0.0479350;0.0480900;0.0479000;0.0480300;1791230000
VTBR;60;17/01/20;150000;0.0480300;0.0482000;0.0479150;0.0479900;3464470000
VTBR;60;17/01/20;160000;0.0479900;0.0480000;0.0477000;0.0477750;4018190000
VTBR;60;17/01/20;170000;0.0477750;0.0479750;0.0477600;0.0478400;2078460000
VTBR;60;17/01/20;180000;0.0478400;0.0480950;0.0478100;0.0480850;2512800000
VTBR;60;17/01/20;190000;0.0480850;0.0480950;0.0479850;0.0480350;2601570000
