<TICKER>;<CLOSE>
RTSI;1537.37
RTSI;1538.62
RTSI;1538.47
RTSI;1538.32
RTSI;1538.46
RTSI;1538.73
RTSI;1538.16
RTSI;1538.6
RTSI;1538.58
RTSI;1535.62
RTSI;1535.87
RTSI;1534.39
RTSI;1534.05
RTSI;1535.09
RTSI;1537.1
RTSI;1537.22
RTSI;1539.62
RTSI;1539.44
RTSI;1539.81
RTSI;1541.4
RTSI;1540.91
RTSI;1540.99
RTSI;1542.03
RTSI;1541.16
RTSI;1542.86
RTSI;1545.04
RTSI;1545.68
RTSI;1545.52
RTSI;1547.29
RTSI;1546.79
RTSI;1546.57
RTSI;1547.17
RTSI;1547.7
RTSI;1549.84
RTSI;1549.16
RTSI;1547.7
RTSI;1546.95
RTSI;1545.84
RTSI;1545.4
RTSI;1546.78
RTSI;1544.41
RTSI;1543.57
RTSI;1544.05
RTSI;1544.55
RTSI;1547.23
RTSI;1546.83
RTSI;1547.69
RTSI;1545.62
RTSI;1545.97
RTSI;1544.74
RTSI;1544.9
RTSI;1545.32
RTSI;1546.15
RTSI;1545.92
RTSI;1548.15
RTSI;1548.16
RTSI;1547.19
RTSI;1547.19
RTSI;1546.58
RTSI;1545.29
RTSI;1540.77
RTSI;1540.08
RTSI;1540.34
RTSI;1541.55
RTSI;1541.93
RTSI;1543.21
RTSI;1543.6
RTSI;1542.51
RTSI;1543.61
RTSI;1543.04
RTSI;1539.22
RTSI;1542.02
RTSI;1541.06
RTSI;1539.34
RTSI;1540.59
RTSI;1543.54
RTSI;1547.25
RTSI;1554.86
RTSI;1556.98
RTSI;1561.28
RTSI;1559.96
RTSI;1560.76
RTSI;1563.82
RTSI;1569.34
RTSI;1566.32
RTSI;1569.65
RTSI;1570.06
RTSI;1571.49
RTSI;1574.29
RTSI;1573.9
RTSI;1572.25
RTSI;1572.93
RTSI;1572.09
RTSI;1570.47
RTSI;1571.81
RTSI;1571.52
RTSI;1570.41
RTSI;1571.21
RTSI;1572.2
RTSI;1569.59
RTSI;1569.71
RTSI;1569.93
RTSI;1569.67
RTSI;1570.22
RTSI;1571.3
RTSI;1571.87
RTSI;1571.19
